ano_mes,estado,product_category,qtd_transacoes,valor_total,taxas_totais,cashback_total,receita_liquida_total,pontos_totais,usuarios_unicos
2025-03,Ba,Eletrônicos,17,10626.88,133.72,115.11,10608.27,3709.0,17
2025-03,Ba,Farmácia,26,2353.26,28.98,14.89,2339.17,868.0,23
2025-03,Ba,Restaurantes,22,2292.66,25.62,44.44,2311.48,1602.0,21
2025-03,Ba,Roupas,17,2536.29,29.35,29.11,2536.05,841.0,16
2025-03,Ba,Serviços Públicos,40,4867.05,64.12,64.08,4867.01,3177.0,37
2025-03,Ba,Streaming,33,1127.17,14.35,10.52,1123.34,360.0,32
2025-03,Ba,Supermercado,23,4583.03,55.68,58.15,4585.5,2633.0,22
2025-03,Ba,Telefonia,35,2134.32,27.830000000000002,23.15,2129.64,1109.0,33
2025-03,Bahia,Eletrônicos,24,16190.18,229.28,245.18,16206.08,8743.0,23
2025-03,Bahia,Farmácia,27,2348.65,29.93,24.83,2343.55,1003.0,24
2025-03,Bahia,Restaurantes,23,2463.7200000000003,33.96,32.56,2462.32,1536.0,23
2025-03,Bahia,Roupas,21,2985.59,34.51,42.94,2994.02,1712.0,20
2025-03,Bahia,Serviços Públicos,29,3498.21,45.56,32.1,3484.75,1791.0,27
2025-03,Bahia,Streaming,24,831.6,9.89,10.03,831.74,308.0,22
2025-03,Bahia,Supermercado,25,5054.1,56.94,49.06,5046.22,2198.0,25
2025-03,Bahia,Telefonia,32,1844.6100000000001,21.91,24.23,1846.93,761.0,30
2025-03,Ce,Eletrônicos,22,14441.5,192.92,205.58,14454.16,6210.0,22
2025-03,Ce,Farmácia,30,2433.49,34.28,26.16,2425.37,1094.0,29
2025-03,Ce,Restaurantes,17,1866.77,21.02,27.65,1873.3999999999999,1156.0,16
2025-03,Ce,Roupas,25,4093.5699999999997,52.41,42.01,4083.17,2465.0,24
2025-03,Ce,Serviços Públicos,40,4522.76,50.76,61.0,4533.0,2030.0,36
2025-03,Ce,Streaming,40,1448.39,16.57,15.44,1447.26,715.0,40
2025-03,Ce,Supermercado,27,4955.87,63.34,89.95,4982.48,4225.0,25
2025-03,Ce,Telefonia,34,2093.26,25.34,22.56,2090.48,695.0,32
2025-03,Ceará,Eletrônicos,30,20432.55,263.27,163.03,20332.31,7096.0,29
2025-03,Ceará,Farmácia,35,2630.14,32.269999999999996,28.04,2625.91,1313.0,31
2025-03,Ceará,Restaurantes,20,2084.04,27.16,30.81,2087.69,795.0,18
2025-03,Ceará,Roupas,30,4425.92,49.12,51.16,4427.96,2361.0,27
2025-03,Ceará,Serviços Públicos,29,3431.97,39.21,44.150000000000006,3436.91,2056.0,27
2025-03,Ceará,Streaming,33,1169.57,13.56,12.69,1168.7,500.0,30
2025-03,Ceará,Supermercado,25,4830.23,61.15,75.35,4844.43,2452.0,24
2025-03,Ceará,Telefonia,32,1986.62,24.7,15.41,1977.33,651.0,31
2025-03,Df,Eletrônicos,20,13000.89,167.57,191.29000000000002,13024.61,7767.0,19
2025-03,Df,Farmácia,26,2188.36,26.36,31.86,2193.86,1279.0,26
2025-03,Df,Restaurantes,16,1252.8899999999999,17.81,17.95,1253.03,814.0,16
2025-03,Df,Roupas,21,2940.83,42.63,41.58,2939.7799999999997,1619.0,19
