transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method
T000001,U04109,2025-06-01,Farmácia,Pague Menos,Caldeira Moreira Ltda.,10.44,0.15,0.0,0.0,Boleto
T000002,U00942,2025-04-03,Roupas,Zara,Vieira Casa Grande e Filhos,209.76,2.51,0.0,0.0,Cartão de Débito
T000003,U03857,2025-04-27,Restaurantes,Rappi,Souza,76.86,1.3,1.69,65.0,Boleto
T000004,U00650,2025-06-09,Eletrônicos,Magazine Luiza,Vargas S.A.,759.97,10.84,22.15,1269.0,Boleto
T000005,U01944,2025-05-20,Serviços Públicos,Água,Água,118.37,1.21,0.0,0.0,Boleto
T000006,U02154,2025-05-29,Serviços Públicos,Gás,Gás,118.04,1.23,0.0,0.0,Cartão de Débito
T000007,U02960,2025-05-16,Eletrônicos,Americanas,Fonseca S.A.,1265.63,10.69,0.0,0.0,Cartão de Crédito
T000008,U02893,2025-05-02,Restaurantes,McDonald’s,Mendes,141.67,2.68,0.0,0.0,Boleto
T000009,U02054,2025-06-02,Serviços Públicos,Água,Água,167.19,1.38,0.0,0.0,Pix
T000010,U04479,2025-05-12,Roupas,Renner,Pereira - EI,97.42,0.92,4.67,186.0,Boleto
T000011,U01800,2025-06-23,Serviços Públicos,Água,Água,154.58,1.6400000000000001,0.0,0.0,Cartão de Débito
T000012,U02829,2025-05-02,Serviços Públicos,Luz,Luz,104.91,1.87,0.0,0.0,Pix
T000013,U03073,2025-05-28,Supermercado,Extra,Pinto,5.0,0.04,0.16,7.0,Cartão de Crédito
T000014,U02464,2025-06-23,Telefonia,Vivo,Vivo,63.22,0.58,0.0,0.0,Boleto
T000015,U00817,2025-06-18,Farmácia,Panvel,da Mata Costela e Filhos,114.94,1.18,0.0,0.0,Boleto
T000016,U02106,2025-05-24,Farmácia,Pague Menos,Lopes,75.66,1.33,0.0,0.0,Boleto
T000017,U04568,2025-04-16,Telefonia,Oi,Oi,50.39,0.46,1.1,33.0,Pix
T000018,U02512,2025-05-10,Streaming,Disney+,Disney+,40.53,0.38,1.12,64.0,Pix
T000019,U04245,2025-04-14,Streaming,HBO Max,HBO Max,36.15,0.24,0.0,0.0,Cartão de Crédito
T000020,U01327,2025-03-30,Eletrônicos,Americanas,Cardoso Nunes S.A.,653.17,7.8100000000000005,32.15,536.0,Cartão de Crédito
T000021,U02800,2025-04-08,Telefonia,Vivo,Vivo,82.72,0.72,0.0,0.0,Cartão de Débito
T000022,U02505,2025-06-03,Eletrônicos,Americanas,Costa S/A,793.35,12.83,36.36,1341.0,Cartão de Débito
T000023,U03759,2025-04-19,Telefonia,Claro,Claro,55.64,0.91,0.0,0.0,Pix
T000024,U01269,2025-04-24,Telefonia,Vivo,Vivo,66.74,1.31,0.0,0.0,Cartão de Débito
T000025,U01486,2025-04-28,Serviços Públicos,Gás,Gás,96.54,1.6600000000000001,0.0,0.0,Cartão de Crédito
T000026,U03399,2025-04-19,Streaming,Disney+,Disney+,29.65,0.52,0.79,22.0,Cartão de Crédito
T000027,U00758,2025-04-09,Restaurantes,Outback,Freitas,86.84,0.84,3.58,95.0,Cartão de Débito
